region,total,approved,refused,withdrawn,discharge,split,pending,other,no_decision,decided,approval_rate,refusal_rate,no_decision_share
London,4504,3015,308,316,118,1,0,10,736,3323,90.7,9.3,16.3
East of England,3582,2425,230,274,120,11,51,42,429,2655,91.3,8.7,12.0
West Midlands,1162,881,81,85,2,1,11,11,90,962,91.6,8.4,7.7
South East,5574,3977,365,373,91,29,16,75,648,4342,91.6,8.4,11.6
Wales,1681,1288,100,98,9,4,9,14,159,1388,92.8,7.2,9.5
North East / Yorkshire,2201,1641,115,103,42,2,4,19,275,1756,93.5,6.5,12.5
North West,1813,1378,84,121,19,2,17,17,175,1462,94.3,5.7,9.7
South West,3066,2342,134,235,146,5,6,18,180,2476,94.6,5.4,5.9
Northern Ireland,84,72,4,3,0,0,0,1,4,76,94.7,5.3,4.8
Crown Dependencies,188,98,5,0,0,0,0,0,85,103,95.1,4.9,45.2
East Midlands,1370,1070,48,65,41,2,9,32,103,1118,95.7,4.3,7.5
Scotland,5221,4289,127,274,0,0,3,101,427,4416,97.1,2.9,8.2
