label_a,label_b,n_apps
design_scale_siting,policy_general,665
design_scale_siting,visual_amenity,577
neighbour_amenity,policy_general,542
design_scale_siting,noise,531
design_scale_siting,neighbour_amenity,525
noise,policy_general,517
policy_general,visual_amenity,512
neighbour_amenity,noise,485
design_scale_siting,heritage_listed,403
neighbour_amenity,visual_amenity,399
design_scale_siting,heritage_conservation_area,397
heritage_conservation_area,heritage_listed,374
heritage_listed,policy_general,373
noise,visual_amenity,372
heritage_conservation_area,policy_general,370
design_scale_siting,flat_apartment,356
heritage_conservation_area,visual_amenity,350
heritage_listed,visual_amenity,330
heritage_conservation_area,neighbour_amenity,281
heritage_listed,neighbour_amenity,274
heritage_listed,noise,268
heritage_conservation_area,noise,264
flat_apartment,policy_general,262
noise,permitted_development,250
flat_apartment,visual_amenity,243
design_scale_siting,permitted_development,241
design_scale_siting,flood_drainage,237
flat_apartment,neighbour_amenity,233
flat_apartment,noise,227
permitted_development,policy_general,218
biodiversity,design_scale_siting,212
flood_drainage,policy_general,204
biodiversity,policy_general,195
flat_apartment,heritage_conservation_area,193
permitted_development,visual_amenity,187
flat_apartment,heritage_listed,186
neighbour_amenity,permitted_development,185
flood_drainage,neighbour_amenity,175
flood_drainage,noise,174
flood_drainage,visual_amenity,171
biodiversity,visual_amenity,168
biodiversity,neighbour_amenity,155
biodiversity,noise,153
flood_drainage,heritage_listed,148
flood_drainage,heritage_conservation_area,145
biodiversity,heritage_listed,136
highways,policy_general,127
heritage_conservation_area,permitted_development,126
design_scale_siting,highways,124
heritage_listed,permitted_development,122
