postcode_area,region
AB,Scotland
DD,Scotland
DG,Scotland
EH,Scotland
FK,Scotland
G,Scotland
HS,Scotland
IV,Scotland
KA,Scotland
KW,Scotland
KY,Scotland
ML,Scotland
PA,Scotland
PH,Scotland
TD,Scotland
ZE,Scotland
CF,Wales
LD,Wales
LL,Wales
NP,Wales
SA,Wales
SY,Wales
E,London
EC,London
N,London
NW,London
SE,London
SW,London
W,London
WC,London
BN,South East
CT,South East
GU,South East
HP,South East
ME,South East
MK,South East
OX,South East
PO,South East
RG,South East
RH,South East
SL,South East
SO,South East
TN,South East
BA,South West
BH,South West
BS,South West
DT,South West
EX,South West
GL,South West
PL,South West
SN,South West
SP,South West
TA,South West
TQ,South West
TR,South West
AL,East of England
CB,East of England
CM,East of England
CO,East of England
EN,East of England
IG,East of England
IP,East of England
LU,East of England
NR,East of England
PE,East of England
RM,East of England
SG,East of England
SS,East of England
WD,East of England
DE,East Midlands
DN,East Midlands
LE,East Midlands
LN,East Midlands
NG,East Midlands
NN,East Midlands
B,West Midlands
CV,West Midlands
DY,West Midlands
HR,West Midlands
ST,West Midlands
TF,West Midlands
WR,West Midlands
WS,West Midlands
WV,West Midlands
BB,North West
BL,North West
CA,North West
CH,North West
CW,North West
FY,North West
L,North West
LA,North West
M,North West
OL,North West
PR,North West
SK,North West
WA,North West
WN,North West
DH,North East / Yorkshire
DL,North East / Yorkshire
HG,North East / Yorkshire
HU,North East / Yorkshire
HX,North East / Yorkshire
LS,North East / Yorkshire
NE,North East / Yorkshire
SR,North East / Yorkshire
TS,North East / Yorkshire
YO,North East / Yorkshire
BD,North East / Yorkshire
HD,North East / Yorkshire
S,North East / Yorkshire
WF,North East / Yorkshire
BT,Northern Ireland
HA,London
UB,London
DA,South East
KT,South East
TW,South East
